genre,title,rating_count,avg_rating
Action,Fight Club (1999),218,4.272935779816514
Action,"Dark Knight, The (2008)",149,4.238255033557047
Action,"Princess Bride, The (1987)",142,4.232394366197183
Action,Star Wars: Episode IV - A New Hope (1977),251,4.231075697211155
Action,Apocalypse Now (1979),107,4.219626168224299
Action,Star Wars: Episode V - The Empire Strikes Back (1980),211,4.2156398104265405
Action,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),200,4.2075
Action,"Matrix, The (1999)",278,4.192446043165468
Action,North by Northwest (1959),57,4.184210526315789
Action,City of God (Cidade de Deus) (2002),75,4.1466666666666665
Adventure,"Princess Bride, The (1987)",142,4.232394366197183
Adventure,Star Wars: Episode IV - A New Hope (1977),251,4.231075697211155
Adventure,Star Wars: Episode V - The Empire Strikes Back (1980),211,4.2156398104265405
Adventure,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),200,4.2075
Adventure,North by Northwest (1959),57,4.184210526315789
Adventure,Monty Python and the Holy Grail (1975),136,4.161764705882353
Adventure,Spirited Away (Sen to Chihiro no kamikakushi) (2001),87,4.155172413793103
Adventure,City of God (Cidade de Deus) (2002),75,4.1466666666666665
Adventure,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",72,4.145833333333333
Adventure,Star Wars: Episode VI - Return of the Jedi (1983),196,4.137755102040816
Animation,Spirited Away (Sen to Chihiro no kamikakushi) (2001),87,4.155172413793103
Animation,Toy Story 3 (2010),55,4.109090909090909
Animation,WALL·E (2008),104,4.0576923076923075
Animation,Wallace & Gromit: The Wrong Trousers (1993),56,4.035714285714286
Animation,Up (2009),105,4.004761904761905
Animation,Finding Nemo (2003),141,3.9609929078014185
Animation,How to Train Your Dragon (2010),53,3.943396226415094
Animation,"Lion King, The (1994)",172,3.941860465116279
Animation,Toy Story (1995),215,3.9209302325581397
Animation,"Monsters, Inc. (2001)",132,3.871212121212121
Children,Toy Story 3 (2010),55,4.109090909090909
Children,WALL·E (2008),104,4.0576923076923075
Children,Wallace & Gromit: The Wrong Trousers (1993),56,4.035714285714286
Children,It's a Wonderful Life (1946),58,4.0344827586206895
Children,Up (2009),105,4.004761904761905
Children,"Christmas Story, A (1983)",55,3.9727272727272727
